order_id,full_name,city,brand_name,STATE,order_date,total_units,revenue,product_name,category_name,store_name,sales_rep
1,Johnathan Velazquez,Pleasanton,Electra,CA,2016-01-01,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland
1,Johnathan Velazquez,Pleasanton,Electra,CA,2016-01-01,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland
1,Johnathan Velazquez,Pleasanton,Surly,CA,2016-01-01,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland
1,Johnathan Velazquez,Pleasanton,Trek,CA,2016-01-01,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland
1,Johnathan Velazquez,Pleasanton,Trek,CA,2016-01-01,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland
2,Jaqueline Cummings,Huntington Station,Electra,NY,2016-01-01,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
2,Jaqueline Cummings,Huntington Station,Electra,NY,2016-01-01,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
3,Joshua Robertson,Patchogue,Electra,NY,2016-01-02,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
3,Joshua Robertson,Patchogue,Surly,NY,2016-01-02,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
4,Nova Hess,Duarte,Ritchey,CA,2016-01-03,2,1499.98,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
5,Arla Ellis,Utica,Electra,NY,2016-01-03,1,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer
5,Arla Ellis,Utica,Pure Cycles,NY,2016-01-03,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
5,Arla Ellis,Utica,Surly,NY,2016-01-03,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,Electra,NY,2016-01-04,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,Electra,NY,2016-01-04,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,Pure Cycles,NY,2016-01-04,1,449.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,Surly,NY,2016-01-04,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,Trek,NY,2016-01-04,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Baldwin Bikes,Marcelene Boyer
7,Laureen Paul,Bellmore,Electra,NY,2016-01-04,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
7,Laureen Paul,Bellmore,Pure Cycles,NY,2016-01-04,2,858.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
7,Laureen Paul,Bellmore,Surly,NY,2016-01-04,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
8,Leslie Higgins,Saratoga Springs,Electra,NY,2016-01-04,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel
8,Leslie Higgins,Saratoga Springs,Electra,NY,2016-01-04,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
9,Neil Mccall,San Carlos,Trek,CA,2016-01-05,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland
10,Alane Munoz,Yonkers,Electra,NY,2016-01-05,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
11,Tarra Guerrero,Auburn,Electra,NY,2016-01-05,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel
11,Tarra Guerrero,Auburn,Electra,NY,2016-01-05,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
11,Tarra Guerrero,Auburn,Trek,NY,2016-01-05,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
12,Marvin Mullins,San Diego,Surly,CA,2016-01-06,1,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland
12,Marvin Mullins,San Diego,Trek,CA,2016-01-06,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland
13,Patience Clayton,Niagara Falls,Electra,NY,2016-01-08,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
13,Patience Clayton,Niagara Falls,Electra,NY,2016-01-08,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
13,Patience Clayton,Niagara Falls,Electra,NY,2016-01-08,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
13,Patience Clayton,Niagara Falls,Pure Cycles,NY,2016-01-08,2,858.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
14,Maribel William,Torrance,Surly,CA,2016-01-09,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
